鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積(平方公尺),使用分區或編定,非都市土地使用分區,非都市土地使用地,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標
中山區,房地(土地+建物),臺北市中山區新生北路二段51~100號,3.07,商,,,10108,土地1建物1車位0,十一層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,970925,26.44,1,1,1,有,有,4400000,166426,,0,0,303205,2772216
中山區,房地(土地+建物),臺北市中山區撫順街1~50號,6.86,商,,,10108,土地1建物1車位0,三層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,851129,60.91,3,1,1,有,有,9100000,149405,,0,0,302500,2772926
中山區,房地(土地+建物),臺北市中山區松江路1~50號,2.45,商,,,10109,土地1建物1車位0,十層,12,套房(1房1廳1衛),住商用,鋼筋混凝土造,661102,28.73,0,1,1,有,有,3450000,120078,,0,0,303739,2771031
內湖區,房地(土地+建物),臺北市內湖區民權東路六段296巷1~50號,36.2,住,,,10108,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780118,118.43,3,2,2,有,無,14900000,125817,,0,0,311228,2773832
中山區,房地(土地+建物),臺北市中山區錦州街351~400號,36.25,住,,,10109,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660330,90.33,2,2,2,有,無,15080000,166943,,0,0,304479,2772535
中山區,房地(土地+建物),臺北市中山區長春路201~250號,14.84,商,,,10108,土地2建物1車位0,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,700212,137.88,3,2,2,有,有,25000000,181320,,0,0,304369,2771969
中山區,房地(土地+建物),臺北市中山區長春路151~200號,2.86,商,,,10109,土地1建物1車位0,十一層,11,套房(1房1廳1衛),商業用,鋼筋混凝土造,830224,26.87,1,1,1,有,有,5060000,188317,,0,0,303956,2771921
內湖區,房地(土地+建物)+車位,臺北市內湖區星雲街101~150號,29.72,住,,,10109,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931222,215.17,4,2,2,有,有,46500000,216111,坡道平面,0,0,310122,2774838
內湖區,房地(土地+建物),臺北市內湖區新明路380巷4弄1~50號,32.99,住,,,10109,土地3建物1車位0,四層，陽台,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,86.78,3,2,2,有,無,8700000,100254,,0,0,308525,2771969
內湖區,房地(土地+建物),臺北市內湖區康寧路一段195巷1弄1~50號,39.8,住,,,10106,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780808,107.72,3,2,2,有,無,14250000,132285,,0,0,310264,2774627
大安區,房地(土地+建物),臺北市大安區和平東路三段101~150號,4.28,商,,,10108,土地2建物1車位0,二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,930409,38.34,0,0,1,無,有,9500000,247783,,0,0,305664,2768577
大安區,房地(土地+建物),臺北市大安區和平東路二段107巷6弄1~50號,15.86,商,,,10109,土地2建物1車位0,三層，電梯樓梯間,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840821,66.62,2,2,1,有,有,18400000,276193,,0,0,304497,2768741
大安區,房地(土地+建物),臺北市大安區仁愛路四段345巷5弄1~50號,33.43,住,,,10109,土地1建物1車位0,一層，電梯樓梯間,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,159.45,3,3,3,有,有,71000000,445281,,0,0,305972,2770164
大安區,車位,臺北市大安區四維路51~100號,0.1,其他,,,10109,土地0建物0車位1,地下三層,18,其他,停車空間,鋼筋混凝土造,760711,34.64,0,0,0,有,有,4500000,,升降平面,34.63,4500000,305349,2769447
大安區,房地(土地+建物),臺北市大安區仁愛路四段122巷51~100號,4.82,住,,,10108,土地2建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720816,47.99,1,2,1,有,有,10900000,227108,,0,0,305541,2769612
大安區,房地(土地+建物)+車位,臺北市大安區羅斯福路三段251~300號,7.79,商,,,10108,土地1建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970131,101.95,1,1,1,有,有,25680000,251893,坡道機械,23.46,0,303586,2767929
大安區,房地(土地+建物),臺北市大安區復興南路二段90巷1~50號,11.22,住,,,10109,土地1建物1車位0,二層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,950410,38.42,1,1,1,有,有,10350000,269416,,0,0,304816,2769210
大安區,房地(土地+建物),臺北市大安區瑞安街208巷14弄1~50號,13.3,住,,,10108,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730228,50.73,1,1,1,有,無,14200000,279907,,0,0,304524,2768987
文山區,房地(土地+建物),臺北市文山區光輝路118巷1弄1~50號,48.8,住,,,10109,土地2建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710601,137.15,3,3,2,有,無,20000000,145824,,0,0,306308,2764190
文山區,房地(土地+建物),臺北市文山區木柵路三段51~100號,16.67,商,,,10108,土地1建物1車位0,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831111,148.03,3,2,2,有,有,19000000,128350,,0,0,307189,2764633
文山區,房地(土地+建物)+車位,臺北市文山區萬芳路107巷1~50號,23.61,住,,,10108,土地3建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970623,111.7,2,2,1,有,有,16350000,146363,坡道機械,0,0,306822,2765524
北投區,房地(土地+建物),臺北市北投區西安街一段151~200號,9.95,住,,,10108,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,1010320,55.76,1,1,1,有,有,8900000,159606,,0,0,302249,2778087
士林區,房地(土地+建物),臺北市士林區天母東路105巷51~100號,50.96,住,,,10109,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680517,129.17,5,3,2,有,有,14680000,113649,,0,0,303979,2779249
北投區,房地(土地+建物)+車位,臺北市北投區石牌路二段348巷1~50號,94.12,住,,,10109,土地1建物1車位1,全,2,透天厝,住家用,鋼筋混凝土造,830809,352.37,5,3,5,有,有,47000000,133383,坡道平面,0,0,302933,2779400
北投區,房地(土地+建物),臺北市北投區文化三路51~100號,28.12,住,,,10109,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,741127,105.9,3,2,1,有,有,11500000,108598,,0,0,300201,2781309
北投區,房地(土地+建物),臺北市北投區杏林二路1~50號,18.45,住,,,10108,土地2建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,820629,75.78,4,2,2,有,無,6360000,83928,,0,0,300226,2781610
北投區,房地(土地+建物),臺北市北投區行義路140巷1~50號,29.52,住,,,10109,土地1建物2車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,740202,149.98,3,2,2,有,有,13200000,88016,,0,0,303316,2780275
北投區,房地(土地+建物),臺北市北投區珠海路1~50號,8.23,商,,,10108,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,861219,65.83,2,1,1,有,有,10600000,161014,,0,0,300652,2781112
北投區,房地(土地+建物),臺北市北投區中山路1~50號,8.27,住,,,10108,土地1建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,670404,47.08,1,2,1,有,有,6800000,144433,,0,0,300935,2781082
士林區,土地,天山段一小段601~650地號,307,其他,,,10109,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,41064320,133760,,0,0,303856,2779495
北投區,房地(土地+建物)+車位,臺北市北投區豐年路一段51~100號,42,住,,,10108,土地1建物1車位1,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990727,211.15,4,2,2,有,有,28700000,135923,坡道平面,0,0,300197,2780755
信義區,房地(土地+建物),臺北市信義區光復南路401~450號,13.91,商,,,10108,土地1建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,165.22,0,0,1,有,有,36990000,223883,,0,0,306286,2769868
南港區,房地(土地+建物)+車位,臺北市南港區園區街1~50號,74.34,工,,,10109,土地1建物1車位2,七層,21,辦公商業大樓,見使用執照,見其他登記事項,920130,427.6,0,0,0,無,有,39402576,107194,坡道平面,95,3750000,311759,2772272
南港區,房地(土地+建物)+車位,臺北市南港區三重路41巷1~50號,52.01,住,,,10108,土地1建物1車位2,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010119,462.71,4,2,2,有,無,78580000,188507,坡道平面,71.84,4900000,311849,2772589
松山區,房地(土地+建物)+車位,臺北市松山區健康路401~450號,26.19,住,,,10109,土地2建物2車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000706,261.2,3,2,2,有,有,67500000,258418,坡道平面,26.54,0,307208,2771860
南港區,房地(土地+建物)+車位,臺北市南港區三重路41巷1~50號,32.39,住,,,10108,土地1建物1車位2,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010119,301.78,4,2,2,有,無,44200000,173966,坡道平面,71.84,4200000,311819,2772619
南港區,房地(土地+建物)+車位,臺北市南港區三重路41巷1~50號,26.47,住,,,10108,土地1建物1車位1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010119,230.33,3,2,2,有,無,36000000,174374,坡道平面,35.92,2100000,311840,2772598
信義區,車位,臺北市信義區光復南路451~500號,2.07,商,,,10109,土地0建物0車位1,地下一層，地下二層，地下三層，地下四層,20,其他,見使用執照,鋼骨混凝土造,850320,45.29,0,0,0,有,有,3100000,,坡道平面,0,3100000,306303,2769494
南港區,房地(土地+建物),臺北市南港區研究院路二段12巷14弄1~50號,21.99,住,,,10107,土地2建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,90.75,4,2,1,有,無,10400000,114597,,0,0,312043,2771117
信義區,房地(土地+建物),臺北市信義區虎林街100巷51~100號,18,住,,,10109,土地1建物1車位0,一層，二層，三層,3,公寓(5樓含以下無電梯),住家用,加強磚造,510201,54.06,3,3,3,有,無,14500000,268220,,0,0,308047,2770648
信義區,房地(土地+建物),臺北市信義區莊敬路301~350號,14.84,其他,,,10109,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800222,78.35,2,1,1,有,無,17400000,222070,,0,0,306950,2769002
松山區,房地(土地+建物),臺北市松山區新東街51巷1~50號,23,,,,10109,土地1建物1車位0,四層，陽台,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620606,64.16,3,2,2,有,無,12600000,196384,,0,0,306847,2772694
